layer,component,pos_from_end,attr
4,mlp_hidden,-8,0.000675
4,mlp_hidden,-7,0.001876
4,mlp_hidden,-6,0.002118
4,mlp_hidden,-5,0.001715
4,mlp_hidden,-4,0.000609
4,mlp_hidden,-3,0.000710
4,mlp_hidden,-2,0.000839
4,mlp_hidden,-1,-0.000158
4,mlp_out,-8,0.000675
4,mlp_out,-7,0.001876
4,mlp_out,-6,0.002118
4,mlp_out,-5,0.001715
4,mlp_out,-4,0.000609
4,mlp_out,-3,0.000710
4,mlp_out,-2,0.000839
4,mlp_out,-1,-0.000158
4,resid_post,-8,-0.004289
4,resid_post,-7,-0.002731
4,resid_post,-6,0.003383
4,resid_post,-5,-0.021897
4,resid_post,-4,0.004093
4,resid_post,-3,0.002478
4,resid_post,-2,0.000286
4,resid_post,-1,0.000138
4,resid_pre,-8,-0.004498
4,resid_pre,-7,-0.003664
4,resid_pre,-6,0.002703
4,resid_pre,-5,-0.021858
4,resid_pre,-4,-0.000639
4,resid_pre,-3,0.001460
4,resid_pre,-2,0.000492
4,resid_pre,-1,0.000534
5,attn_out,-8,0.005577
5,attn_out,-7,0.007972
5,attn_out,-6,0.014149
5,attn_out,-5,0.031520
5,attn_out,-4,0.008192
5,attn_out,-3,-0.000083
5,attn_out,-2,0.000235
5,attn_out,-1,0.000326
5,mlp_hidden,-8,-0.000549
5,mlp_hidden,-7,-0.001722
5,mlp_hidden,-6,-0.002002
5,mlp_hidden,-5,-0.006716
5,mlp_hidden,-4,-0.000275
5,mlp_hidden,-3,0.000017
5,mlp_hidden,-2,0.000145
5,mlp_hidden,-1,-0.000791
5,mlp_out,-8,-0.000549
5,mlp_out,-7,-0.001722
5,mlp_out,-6,-0.002002
5,mlp_out,-5,-0.006716
5,mlp_out,-4,-0.000275
5,mlp_out,-3,0.000017
5,mlp_out,-2,0.000145
5,mlp_out,-1,-0.000791
5,resid_post,-8,0.003561
5,resid_post,-7,0.008941
5,resid_post,-6,0.027048
5,resid_post,-5,0.017482
5,resid_post,-4,0.019053
5,resid_post,-3,0.002148
5,resid_post,-2,0.000509
5,resid_post,-1,0.000595
5,resid_pre,-8,-0.004289
5,resid_pre,-7,-0.002731
5,resid_pre,-6,0.003383
5,resid_pre,-5,-0.021897
5,resid_pre,-4,0.004093
5,resid_pre,-3,0.002478
5,resid_pre,-2,0.000286
5,resid_pre,-1,0.000138
6,attn_out,-8,0.005285
6,attn_out,-7,0.008711
6,attn_out,-6,0.015119
6,attn_out,-5,0.020046
6,attn_out,-4,0.009421
6,attn_out,-3,0.001355
6,attn_out,-2,0.000183
6,attn_out,-1,0.006676
6,mlp_hidden,-8,0.000025
